,id_str,created_at,text,lang,retweet_count,source,polarity,subjectivity,opinion
0,1062365036788805632,2018-11-13 15:22:17+00:00,"RT @SebGorka: So @EmmanuelMacron needs an army to protect him from the country that saved his nation TWICE in the 20th century. 

What an “…",en,3354,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,neutral
1,1062365027666034688,2018-11-13 15:22:15+00:00,RT @EmmanuelMacron: Patriotism is the exact opposite of nationalism. Nationalism is a betrayal of patriotism. By putting our own interests…,en,77566,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.2833333333333333,0.4166666666666667,positive
2,1062365025409622016,2018-11-13 15:22:14+00:00,@EmmanuelMacron Emmanuel Macron  True Americans want to say Thank you for thinking about our fallen hero's. U would… https://t.co/Av2GBVO1wR,en,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0.35,0.65,positive
3,1062365021966090240,2018-11-13 15:22:13+00:00,"RT @FredericSays: Bon, l'époque des caresses sur la joue est bel et bien finie entre @realDonaldTrump et @EmmanuelMacron. (""Le problème d'E…",fr,26,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,neutral
4,1062365017578917888,2018-11-13 15:22:12+00:00,"@t0adscroak @petimiti @FredericSays @realDonaldTrump @EmmanuelMacron Ce n'est pas complètement vrai, les Américains… https://t.co/JzegELky6V",fr,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.175,0.65,negative
5,1062365011505565696,2018-11-13 15:22:11+00:00,@photoactivist @FLOTUS @EmmanuelMacron Our First Lady said it in very polite and correct way.   You just enjoy doin… https://t.co/99QUJU1dCF,en,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.2833333333333334,0.37777777777777777,positive
6,1062365011107028992,2018-11-13 15:22:11+00:00,"RT @NadejdaSilanina: 🇫🇷 Très fière de soutenir Nicolas @DupontAignan dans son combat contre la repentance, ici à @ONPCofficiel en juin 2018…",fr,160,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0,1.0,positive
7,1062365003750219776,2018-11-13 15:22:09+00:00,"RT @DD75007: ""Avec @EmmanuelMacron c'est 4 milliards d'impôts et de taxes de plus en un an.
Les Français n'en peuvent plus et ils le disent…",fr,74,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.25,0.25,positive
8,1062365001862782976,2018-11-13 15:22:08+00:00,"@EmmanuelMacron S'il vous plait crèer l'armèe europèenne unifiee. Si nous sommes une seule nation, nous devons pouv… https://t.co/xdw6QpYlHX",fr,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.25,0.3125,positive
9,1062364999761477632,2018-11-13 15:22:08+00:00,"RT @JustinTrudeau: In times of conflict and in times of peace, Canada &amp; France are partners, allies &amp; the closest of friends. Thank you @Em…",en,5075,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,neutral
10,1062364998167678976,2018-11-13 15:22:08+00:00,RT @EmmanuelMacron: Patriotism is the exact opposite of nationalism. Nationalism is a betrayal of patriotism. By putting our own interests…,en,77566,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.2833333333333333,0.4166666666666667,positive
11,1062364996984889344,2018-11-13 15:22:07+00:00,"🇫🇷😢🙏Uplynuly tři roky, ale nic nebylo zapomenuto. 13. listopad vstoupil do paměti celého našeho národa, tam, kde zů… https://t.co/wRtESX5U5i",cs,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0.0,0.625,neutral
12,1062364996208943104,2018-11-13 15:22:07+00:00,"FYI. WE ARE LAUGHING WITH YOU! Once a tool, always a tool!
@EmmanuelMacron @AngelaMerkeICDU https://t.co/RdAW6mest9",en,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,neutral
13,1062364989003055104,2018-11-13 15:22:05+00:00,"RT @LCP: ""Rendez l'ISF d'abord"", demande @Francois_Ruffin à @EmmanuelMacron. ""Tout pour ceux qui ont tout, rien pour ceux qui ne sont rien.…",fr,32,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.25,0.3333333333333333,positive
14,1062364987274993664,2018-11-13 15:22:05+00:00,RT @_Progressistes: Après @emmanuelmacron Angela Merkel défend à son tour l'idée d'une armée européenne https://t.co/xJIqLOBB4H #defense #E…,fr,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,neutral
